===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,AMZN,
20,AMZN,20,2011-01-31 23:59:59.999989,170.16,171.44,167.41,169.64,6718100.0,0.0,169.639999,,20,2011-01-31 23:59:59.999989,170.16,171.44,167.41,169.64,6718100.0,0.0,SmaCross,20,734168.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,AMZN,21,2011-02-01 23:59:59.999989,170.52,173.1,169.51,172.11,5085900.0,0.0,172.110001,,21,2011-02-01 23:59:59.999989,170.52,173.1,169.51,172.11,5085900.0,0.0,SmaCross,21,734169.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,AMZN,22,2011-02-02 23:59:59.999989,171.42,175.2,170.87,173.53,4547500.0,0.0,173.529999,,22,2011-02-02 23:59:59.999989,171.42,175.2,170.87,173.53,4547500.0,0.0,SmaCross,22,734170.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,AMZN,23,2011-02-03 23:59:59.999989,173.5,174.67,171.95,173.71,3678900.0,0.0,173.710007,,23,2011-02-03 23:59:59.999989,173.5,174.67,171.95,173.71,3678900.0,0.0,SmaCross,23,734171.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,AMZN,24,2011-02-04 23:59:59.999989,174.0,177.19,173.75,175.93,4347800.0,0.0,175.929993,,24,2011-02-04 23:59:59.999989,174.0,177.19,173.75,175.93,4347800.0,0.0,SmaCross,24,734172.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,AMZN,25,2011-02-07 23:59:59.999989,176.15,177.55,174.77,176.43,5254700.0,0.0,176.429993,,25,2011-02-07 23:59:59.999989,176.15,177.55,174.77,176.43,5254700.0,0.0,SmaCross,25,734175.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,AMZN,26,2011-02-08 23:59:59.999989,176.66,183.11,176.59,183.06,7794900.0,0.0,183.059998,,26,2011-02-08 23:59:59.999989,176.66,183.11,176.59,183.06,7794900.0,0.0,SmaCross,26,734176.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,AMZN,27,2011-02-09 23:59:59.999989,183.15,186.47,182.26,185.3,8312700.0,0.0,185.300003,,27,2011-02-09 23:59:59.999989,183.15,186.47,182.26,185.3,8312700.0,0.0,SmaCross,27,734177.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,AMZN,28,2011-02-10 23:59:59.999989,184.39,187.24,183.6,186.21,5331400.0,0.0,186.210007,,28,2011-02-10 23:59:59.999989,184.39,187.24,183.6,186.21,5331400.0,0.0,SmaCross,28,734178.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,AMZN,29,2011-02-11 23:59:59.999989,185.56,189.5,185.37,189.25,4487900.0,0.0,189.25,,29,2011-02-11 23:59:59.999989,185.56,189.5,185.37,189.25,4487900.0,0.0,SmaCross,29,734179.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,AMZN,30,2011-02-14 23:59:59.999989,189.25,191.4,188.35,190.42,4061300.0,0.0,190.419998,,30,2011-02-14 23:59:59.999989,189.25,191.4,188.35,190.42,4061300.0,0.0,SmaCross,30,734182.9999999999,Broker,30,9810.75,10001.17,BuySell,30,185.52474999999998,,BuySell,30,,,DataTrades,30,,
31,AMZN,31,2011-02-15 23:59:59.999989,188.73,190.49,188.25,189.03,3890900.0,0.0,189.029999,,31,2011-02-15 23:59:59.999989,188.73,190.49,188.25,189.03,3890900.0,0.0,SmaCross,31,734183.9999999999,Broker,31,9810.75,9999.78,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,AMZN,32,2011-02-16 23:59:59.999989,189.77,190.0,186.35,186.62,4628200.0,0.0,186.619995,,32,2011-02-16 23:59:59.999989,189.77,190.0,186.35,186.62,4628200.0,0.0,SmaCross,32,734184.9999999999,Broker,32,9810.75,9997.37,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,AMZN,33,2011-02-17 23:59:59.999989,185.77,189.09,185.31,187.76,3425500.0,0.0,187.759995,,33,2011-02-17 23:59:59.999989,185.77,189.09,185.31,187.76,3425500.0,0.0,SmaCross,33,734185.9999999999,Broker,33,9810.75,9998.51,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,AMZN,34,2011-02-18 23:59:59.999989,187.54,188.5,185.13,186.5,4178600.0,0.0,186.5,,34,2011-02-18 23:59:59.999989,187.54,188.5,185.13,186.5,4178600.0,0.0,SmaCross,34,734186.9999999999,Broker,34,9810.75,9997.25,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,AMZN,35,2011-02-22 23:59:59.999989,183.68,184.72,179.32,180.42,5637100.0,0.0,180.419998,,35,2011-02-22 23:59:59.999989,183.68,184.72,179.32,180.42,5637100.0,0.0,SmaCross,35,734190.9999999999,Broker,35,9810.75,9991.17,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,AMZN,36,2011-02-23 23:59:59.999989,180.25,181.15,174.39,176.68,5482000.0,0.0,176.679993,,36,2011-02-23 23:59:59.999989,180.25,181.15,174.39,176.68,5482000.0,0.0,SmaCross,36,734191.9999999999,Broker,36,9810.75,9987.43,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,AMZN,37,2011-02-24 23:59:59.999989,176.86,179.75,174.56,177.75,4656500.0,0.0,177.75,,37,2011-02-24 23:59:59.999989,176.86,179.75,174.56,177.75,4656500.0,0.0,SmaCross,37,734192.9999999999,Broker,37,9810.75,9988.5,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,AMZN,38,2011-02-25 23:59:59.999989,178.95,180.75,177.1,177.24,4191400.0,0.0,177.240005,,38,2011-02-25 23:59:59.999989,178.95,180.75,177.1,177.24,4191400.0,0.0,SmaCross,38,734193.9999999999,Broker,38,9989.7,9989.7,BuySell,38,,183.46124999999998,BuySell,38,,,DataTrades,38,-10.300000000000011,
39,AMZN,39,2011-02-28 23:59:59.999989,173.91,175.89,172.15,173.29,6783200.0,0.0,173.289993,,39,2011-02-28 23:59:59.999989,173.91,175.89,172.15,173.29,6783200.0,0.0,SmaCross,39,734196.9999999999,Broker,39,9989.7,9989.7,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,AMZN,40,2011-03-01 23:59:59.999989,173.53,173.96,168.67,169.44,5847100.0,0.0,169.440002,,40,2011-03-01 23:59:59.999989,173.53,173.96,168.67,169.44,5847100.0,0.0,SmaCross,40,734197.9999999999,Broker,40,9989.7,9989.7,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,AMZN,41,2011-03-02 23:59:59.999989,169.09,173.3,168.35,172.02,5185700.0,0.0,172.020004,,41,2011-03-02 23:59:59.999989,169.09,173.3,168.35,172.02,5185700.0,0.0,SmaCross,41,734198.9999999999,Broker,41,9989.7,9989.7,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,AMZN,42,2011-03-03 23:59:59.999989,173.71,174.46,172.05,172.79,4138200.0,0.0,172.789993,,42,2011-03-03 23:59:59.999989,173.71,174.46,172.05,172.79,4138200.0,0.0,SmaCross,42,734199.9999999999,Broker,42,9989.7,9989.7,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,AMZN,43,2011-03-04 23:59:59.999989,172.62,172.75,169.51,171.67,4924300.0,0.0,171.669998,,43,2011-03-04 23:59:59.999989,172.62,172.75,169.51,171.67,4924300.0,0.0,SmaCross,43,734200.9999999999,Broker,43,9989.7,9989.7,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,AMZN,44,2011-03-07 23:59:59.999989,171.92,172.09,166.24,169.08,5932900.0,0.0,169.080002,,44,2011-03-07 23:59:59.999989,171.92,172.09,166.24,169.08,5932900.0,0.0,SmaCross,44,734203.9999999999,Broker,44,9989.7,9989.7,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,AMZN,45,2011-03-08 23:59:59.999989,169.39,169.71,166.72,166.89,4219000.0,0.0,166.889999,,45,2011-03-08 23:59:59.999989,169.39,169.71,166.72,166.89,4219000.0,0.0,SmaCross,45,734204.9999999999,Broker,45,9989.7,9989.7,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,AMZN,46,2011-03-09 23:59:59.999989,166.67,169.75,163.9,169.05,7108900.0,0.0,169.050003,,46,2011-03-09 23:59:59.999989,166.67,169.75,163.9,169.05,7108900.0,0.0,SmaCross,46,734205.9999999999,Broker,46,9989.7,9989.7,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,AMZN,47,2011-03-10 23:59:59.999989,167.07,168.47,164.82,166.14,5998400.0,0.0,166.139999,,47,2011-03-10 23:59:59.999989,167.07,168.47,164.82,166.14,5998400.0,0.0,SmaCross,47,734206.9999999999,Broker,47,9989.7,9989.7,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,AMZN,48,2011-03-11 23:59:59.999989,165.5,169.2,164.12,168.07,4609900.0,0.0,168.070007,,48,2011-03-11 23:59:59.999989,165.5,169.2,164.12,168.07,4609900.0,0.0,SmaCross,48,734207.9999999999,Broker,48,9989.7,9989.7,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,AMZN,49,2011-03-14 23:59:59.999989,166.6,168.08,164.57,166.73,4022000.0,0.0,166.729996,,49,2011-03-14 23:59:59.999989,166.6,168.08,164.57,166.73,4022000.0,0.0,SmaCross,49,734210.9999999999,Broker,49,9989.7,9989.7,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,AMZN,50,2011-03-15 23:59:59.999989,161.39,166.88,160.76,165.08,4934500.0,0.0,165.080002,,50,2011-03-15 23:59:59.999989,161.39,166.88,160.76,165.08,4934500.0,0.0,SmaCross,50,734211.9999999999,Broker,50,9989.7,9989.7,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,AMZN,51,2011-03-16 23:59:59.999989,164.7,168.14,162.87,164.7,5208100.0,0.0,164.699997,,51,2011-03-16 23:59:59.999989,164.7,168.14,162.87,164.7,5208100.0,0.0,SmaCross,51,734212.9999999999,Broker,51,9989.7,9989.7,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,AMZN,52,2011-03-17 23:59:59.999989,165.91,166.3,160.78,160.97,6471400.0,0.0,160.970001,,52,2011-03-17 23:59:59.999989,165.91,166.3,160.78,160.97,6471400.0,0.0,SmaCross,52,734213.9999999999,Broker,52,9989.7,9989.7,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,AMZN,53,2011-03-18 23:59:59.999989,161.19,163.54,160.59,161.82,7442700.0,0.0,161.820007,,53,2011-03-18 23:59:59.999989,161.19,163.54,160.59,161.82,7442700.0,0.0,SmaCross,53,734214.9999999999,Broker,53,9989.7,9989.7,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,AMZN,54,2011-03-21 23:59:59.999989,163.37,165.79,161.72,164.52,4055100.0,0.0,164.520004,,54,2011-03-21 23:59:59.999989,163.37,165.79,161.72,164.52,4055100.0,0.0,SmaCross,54,734217.9999999999,Broker,54,9989.7,9989.7,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,AMZN,55,2011-03-22 23:59:59.999989,164.07,164.44,162.25,162.6,3611400.0,0.0,162.600006,,55,2011-03-22 23:59:59.999989,164.07,164.44,162.25,162.6,3611400.0,0.0,SmaCross,55,734218.9999999999,Broker,55,9989.7,9989.7,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,AMZN,56,2011-03-23 23:59:59.999989,162.3,166.26,160.82,165.32,4721300.0,0.0,165.320007,,56,2011-03-23 23:59:59.999989,162.3,166.26,160.82,165.32,4721300.0,0.0,SmaCross,56,734219.9999999999,Broker,56,9989.7,9989.7,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,AMZN,57,2011-03-24 23:59:59.999989,168.21,172.0,167.36,171.1,6283200.0,0.0,171.100006,,57,2011-03-24 23:59:59.999989,168.21,172.0,167.36,171.1,6283200.0,0.0,SmaCross,57,734220.9999999999,Broker,57,9989.7,9989.7,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,AMZN,58,2011-03-25 23:59:59.999989,171.64,173.49,170.3,170.98,4293800.0,0.0,170.979996,,58,2011-03-25 23:59:59.999989,171.64,173.49,170.3,170.98,4293800.0,0.0,SmaCross,58,734221.9999999999,Broker,58,9989.7,9989.7,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,AMZN,59,2011-03-28 23:59:59.999989,171.8,172.5,169.25,169.35,3400800.0,0.0,169.350006,,59,2011-03-28 23:59:59.999989,171.8,172.5,169.25,169.35,3400800.0,0.0,SmaCross,59,734224.9999999999,Broker,59,9989.7,9989.7,BuySell,59,,,BuySell,59,,,DataTrades,59,,
